Date,Open,High,Low,Close,Adj Close,Volume
2006-05-02,50.009998,50.200001,49.939999,50.139999,39.475239,39900
2006-05-03,50.110001,50.110001,49.959999,50.110001,39.451614,23500
2006-05-04,50.270000,50.270000,50.110001,50.200001,39.522472,14800
2006-05-05,50.439999,50.700001,50.430000,50.700001,39.916119,10900
2006-05-08,50.790001,50.900002,50.790001,50.849998,40.034218,22800
2006-05-09,50.849998,50.919998,50.840000,50.910000,40.081448,12700
2006-05-10,50.849998,50.910000,50.799999,50.860001,40.042088,8000
2006-05-11,50.700001,50.700001,50.299999,50.320000,39.616940,9200
2006-05-12,50.259998,50.259998,49.849998,49.849998,39.246914,12300
2006-05-15,49.799999,50.080002,49.750000,50.080002,39.427994,30100
2006-05-16,50.220001,50.310001,50.110001,50.119999,39.459480,11300
2006-05-17,49.930000,49.930000,49.299999,49.410000,38.900497,55800
2006-05-18,49.459999,49.490002,49.090000,49.160000,38.703682,23700
2006-05-19,49.290001,49.349998,48.959999,49.240002,38.766670,41000
2006-05-22,49.139999,49.230000,48.849998,49.200001,38.735165,29700
2006-05-23,49.360001,49.400002,48.980000,48.980000,38.561958,11000
2006-05-24,48.869999,49.270000,48.750000,49.270000,38.790287,48600
2006-05-25,49.430000,49.570000,49.340000,49.570000,39.026463,14700
2006-05-26,49.689999,49.810001,49.619999,49.790001,39.199680,13200
2006-05-30,49.560001,49.560001,49.080002,49.080002,38.640701,14600
2006-05-31,49.220001,49.369999,49.080002,49.369999,38.869015,36400
2006-06-01,49.380001,49.840000,49.380001,49.840000,39.239044,4900
2006-06-02,49.939999,49.939999,49.590000,49.759998,39.176060,18600
2006-06-05,49.639999,49.639999,49.000000,49.000000,38.577713,28100
2006-06-06,49.130001,49.130001,48.630001,48.880001,38.483242,65300
2006-06-07,49.090000,49.299999,48.860001,48.880001,38.483242,14700
2006-06-08,48.799999,49.000000,48.360001,48.900002,38.498985,75300
2006-06-09,48.919998,49.150002,48.799999,48.810001,38.428131,14800
2006-06-12,48.860001,48.860001,48.389999,48.389999,38.097469,14700
2006-06-13,48.330002,48.560001,48.020000,48.060001,37.837646,45100
2006-06-14,48.130001,48.259998,47.950001,48.259998,37.995094,42500
2006-06-15,48.439999,49.040001,48.439999,49.040001,38.609207,23100
2006-06-16,49.060001,49.060001,48.880001,48.959999,38.546223,34700
2006-06-19,49.040001,49.040001,48.490002,48.520000,38.199810,20300
2006-06-20,48.570000,48.779999,48.549999,48.590000,38.254925,16800
2006-06-21,48.740002,49.080002,48.740002,48.939999,38.530468,61000
2006-06-22,48.810001,48.810001,48.549999,48.689999,38.333633,28900
2006-06-23,48.549999,48.830002,48.509998,48.599998,38.262798,28900
2006-06-26,48.520000,48.580002,48.470001,48.580002,38.324333,9200
2006-06-27,48.669998,48.669998,48.230000,48.250000,38.063984,12900
